Trial,Week,Date,Biobest,Colony,Crithidia,Size,Size_Title,Microcolony,Dead,Alive,Fraction Dead,%Dead,key,Notes,
2,3,4/6/22,6,6b,Inoculated,45,Large (45 bees),6b45,15,30,0.333333333,33.33333333,45Inoculated,,
2,3,4/7/22,5,5clean,Control,15,Small (15 bees),5clean15,1,14,0.066666667,6.666666667,15Control,,
2,3,4/7/22,5,5clean,Control,45,Large (45 bees),5clean45,45,0,1,100,45Control,all bees died from starvation because feeder wasn't attached,
2,3,4/7/22,6,6clean,Control,15,Small (15 bees),6clean15,2,13,0.133333333,13.33333333,15Control,,
2,3,4/7/22,6,6clean,Control,45,Large (45 bees),6clean45,15,30,0.333333333,33.33333333,45Control,,
2,3,4/7/22,3,3clean,Control,15,Small (15 bees),3clean15,0,15,0,0,15Control,,
2,3,4/7/22,3,3clean,Control,45,Large (45 bees),3clean45,3,42,0.066666667,6.666666667,45Control,,
3,1,7/5/22,7,7a,Control,15,Small (15 bees),7aclean15,1,14,0.066666667,6.666666667,15Control,,
3,1,7/5/22,7,7a,Control,45,Large (45 bees),7aclean45,3,42,0.066666667,6.666666667,45Control,,
3,1,7/5/22,8,8a,Control,15,Small (15 bees),8aclean15,1,14,0.066666667,6.666666667,15Control,,
3,1,7/5/22,8,8a,Control,45,Large (45 bees),8aclean45,3,42,0.066666667,6.666666667,45Control,,
3,1,7/5/22,7,7a,Inoculated,15,Small (15 bees),7a15,1,14,0.066666667,6.666666667,15Inoculated,,
3,1,7/5/22,7,7a,Inoculated,45,Large (45 bees),7a45,5,40,0.111111111,11.11111111,45Inoculated,,
3,1,7/5/22,8,8a,Inoculated,15,Small (15 bees),8a15,2,13,0.133333333,13.33333333,15Inoculated,,
3,1,7/5/22,8,8a,Inoculated,45,Large (45 bees),8a45,2,43,0.044444444,4.444444444,45Inoculated,,
3,2,7/12/22,7,7a,Control,15,Small (15 bees),7aclean15,2,13,0.133333333,13.33333333,15Control,,
3,2,7/12/22,7,7a,Control,45,Large (45 bees),7aclean45,4,41,0.088888889,8.888888889,45Control,,
3,2,7/12/22,8,8a,Control,15,Small (15 bees),8aclean15,5,10,0.333333333,33.33333333,15Control,,
3,2,7/12/22,8,8a,Control,45,Large (45 bees),8aclean45,3,42,0.066666667,6.666666667,45Control,,
3,2,7/12/22,7,7a,Inoculated,15,Small (15 bees),7a15,2,13,0.133333333,13.33333333,15Inoculated,,
3,2,7/12/22,7,7a,Inoculated,45,Large (45 bees),7a45,15,30,0.333333333,33.33333333,45Inoculated,,
3,2,7/12/22,8,8a,Inoculated,15,Small (15 bees),8a15,3,12,0.2,20,15Inoculated,,
